name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Villa in Arenal d'en Castell,Menorca Vip Experience. S.L.,No info,Es Mercadal,Entire villa,Entire home/apt,6,2,5,88
Rental unit in Arenal d'en Castell,Bernardo,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,1,101
Rental unit in Ciutadella de Menorca,Daniel,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1,1,65
Home in Es Mercadal,Joanassa,No info,Es Mercadal,Entire home,Entire home/apt,6,2,7,195
Rental unit in Platges de Fornells,Aleix,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,250
Villa in Cap d'Artrutx,Solmar,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,7,2,5,487
Rental unit in Mao,Esteban,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,1,5,151
Rental unit in San Jaime Mediterraneo,Holidu,No info,Alaior,Entire rental unit,Entire home/apt,6,1,4,295
Home in San Jaime Mediterraneo,Josep,No info,Alaior,Entire home,Entire home/apt,10,4,10,700
Villa in Sant Jaume,Olivers,No info,Alaior,Entire villa,Entire home/apt,10,4,0,405
Serviced apartment in San Jaime Mediterraneo,Xisca,No info,Alaior,Room in serviced apartment,Hotel room,4,1,4,60
Serviced apartment in Ciutadella de Menorca,Elena,No info,Ciutadella de Menorca,Entire serviced apartment,Entire home/apt,2,1,2,75
Villa in Los Delfines,Solmar,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,9,3,7,356
Home in Binibequer,Andreu,No info,Sant Lluis,Entire home,Entire home/apt,6,1,5,485
Rental unit in Son Blanc,Susana,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,5,1,4,25
Cottage in Sant Lluis,Menorca Luxury Broker,No info,Sant Lluis,Entire cottage,Entire home/apt,7,3,5,1159
Villa in Torre Soli Nou,Solmar,No info,Alaior,Entire villa,Entire home/apt,12,5,10,401
Rental unit in Ciutadella de Menorca,Brenda,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1,1,120
Chalet in Illes Balears,Catalina,No info,Es Mercadal,Entire chalet,Entire home/apt,8,3,5,700
Rental unit in Los Delfines,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,76
Chalet in Binibequer,Javier,No info,Sant Lluis,Entire chalet,Entire home/apt,5,1,4,115
Serviced apartment in Ciutadella de Menorca,Aloha,No info,Ciutadella de Menorca,Entire serviced apartment,Entire home/apt,4,1,1,100
Home in Illes Balears,Elena Patricia,No info,Ciutadella de Menorca,Entire home,Entire home/apt,5,1,4,194
Villa in Torre del Ram,Villa Plus,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,391
Camper/RV in Cala Blanca,Antonino,No info,Ciutadella de Menorca,Camper/RV,Entire home/apt,4,1,3,80
Rental unit in Cala en Porter,Daniel,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,155
Villa in Binibequer,Simon,No info,Sant Lluis,Entire villa,Entire home/apt,10,3,7,772
Rental unit in Platges de Fornells,3Villas,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,5,840
Rental unit in Son Parc,Gilles,No info,Es Mercadal,Entire rental unit,Entire home/apt,5,2,5,300
Villa in Es Mercadal,Ana,No info,Es Mercadal,Entire villa,Entire home/apt,6,2,3,600
Villa in Santa Ana,Carlos,No info,Es Castell,Entire villa,Entire home/apt,4,2,3,195
Home in Es Murtar,3Villas,No info,Mahon,Entire home,Entire home/apt,6,3,6,720
Rental unit in Son Parc,Your.Rentals,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,4,132
Condo in Ciutadella de Menorca,Carmen,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,65
Condo in Illes Balears,Marga,No info,Sant Lluis,Entire condo,Entire home/apt,4,1,2,200
Chalet in Son Carrio,Georgina,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,1,4,190
Condo in Menorca,Sara,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,175
Condo in Ciutadella de Menorca,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,50
Rental unit in Ciutadella de Menorca,Joaquim,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,125
Villa in Torre Soli Nou,Solmar,No info,Alaior,Entire villa,Entire home/apt,4,2,3,442
Chalet in Cap d'Artrutx,Magdalena,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,7,2,5,311
Home in Es Canutells,Elisabeth,No info,Mahon,Entire home,Entire home/apt,8,4,5,195
Rental unit in Mao,Jetsun Sebastian,No info,Mahon,Entire rental unit,Entire home/apt,3,1,1,209
Rental unit in Mao,Jetsun Sebastian,No info,Mahon,Entire rental unit,Entire home/apt,4,1,2,262
Home in Illes Balears,Mehoca,No info,Sant Lluis,Entire home,Entire home/apt,10,6,6,541
Home in Cales Piques,Daniel,No info,Ciutadella de Menorca,Entire home,Entire home/apt,9,3,5,429
Chalet in Ciutadella de Menorca,Juan,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,8,2,6,150
Condo in Ciutadella de Menorca,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,4,40
Villa in Sant Jaume,Lynne,No info,Alaior,Entire villa,Entire home/apt,4,1,3,435
Villa in Cala Galdana,Villa Plus,No info,Ferreries,Entire villa,Entire home/apt,10,3,9,899
Home in Es Castell,Jordi,No info,Es Castell,Entire home,Entire home/apt,7,1,6,175
Home in Cala Blanca,Richard,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,6,96
Home in Es Mercadal,Gurbia,No info,Es Mercadal,Entire home,Entire home/apt,8,3,5,400
Chalet in Torre del Ram,Holidu,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,5,2,5,106
Cottage in Sant Lluis,David,No info,Sant Lluis,Entire cottage,Entire home/apt,8,2,6,300
Home in Fornells,Juan Miguel,No info,Es Mercadal,Entire home,Entire home/apt,7,3,6,260
Guesthouse in Es Castell,Miquel,No info,Es Castell,Private room in guesthouse,Private room,2,1,1,125
Chalet in Sant Tomas,Joan,No info,Es Migjorn Gran,Entire chalet,Entire home/apt,6,2,6,250
Villa in Serpentona,Villa Plus,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,4,7,665
Home in Cales Piques,Marc,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,6,113
Rental unit in Ciutadella de Menorca,Ignasi,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,60
Casa particular in Sant Lluis,Ainhoa,No info,Sant Lluis,Casa particular,Entire home/apt,8,2,4,412
Home in Mao,Carlota,No info,Mahon,Entire home,Entire home/apt,7,2,5,350
Home in Son Xoriguer,Federico,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,3,191
Farm stay in Illes Balears,Alejandro,No info,Mahon,Farm stay,Entire home/apt,2,1,1,500
Villa in Cala en Porter,Luis,No info,Alaior,Entire villa,Entire home/apt,6,2,6,460
Rental unit in Cala Galdana,Sonne Villas,No info,Ferreries,Entire rental unit,Entire home/apt,6,2,5,98
Home in Cala en Porter,Sarah,No info,Alaior,Entire home,Entire home/apt,5,2,4,172
Condo in Cap d'Artrutx,Pilar,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,161
Home in Cala en Porter,Alex,No info,Alaior,Entire home,Entire home/apt,6,2,5,250
Home in Cap d'Artrutx,Novasol,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,317
Home in Sant Lluis,Marie-Charlotte,No info,Sant Lluis,Entire home,Entire home/apt,8,3,6,450
Villa in Ciudadela de Menorca,Villa Plus,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,1,5,339
Vacation home in San Jaime Mediterraneo,Julio,No info,Alaior,Entire vacation home,Entire home/apt,4,1,4,93
Villa in Sant Jaume,Bernat,No info,Alaior,Entire villa,Entire home/apt,8,3,4,275
Rental unit in Es Mercadal,Margarita,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,5,185
Rental unit in Binibequer,Natalia,No info,Sant Lluis,Entire rental unit,Entire home/apt,4,1,4,150
Rental unit in Arenal d'en Castell,Menorca Habitat,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,5,195
Vacation home in Cap d'Artrutx,Sonia,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,6,1,5,90
Condo in Illes Balears,Aida,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,3,200
Villa in Binibequer,Christopher,No info,Sant Lluis,Entire villa,Entire home/apt,7,2,6,176
Villa in Binibeca Vell,Holidu,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,6,283
Camper/RV in L'Argentina,Sofia,No info,Alaior,Camper/RV,Entire home/apt,2,0,1,54
Condo in Cap d'Artrutx,Monica,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,2,90
Villa in Binibequer,Villa Plus,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,501
Villa in Sant Jaume,Lynne,No info,Alaior,Entire villa,Entire home/apt,6,2,6,683
Villa in Torre Soli Nou,Lynne,No info,Alaior,Entire villa,Entire home/apt,6,3,5,964
Rental unit in Son Xoriguer,Matias Javier,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,3,1,2,600
Villa in Ciudadela de Menorca,Homerti,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,610
Home in Binibequer,Clare,No info,Sant Lluis,Entire home,Entire home/apt,8,3,7,550
Rental unit in San Jaime Mediterraneo,Barber Coll,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,377
Villa in Cap d'Artrutx,Holidays,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,6,530
Home in Port d'Addaia,3Villas,No info,Es Mercadal,Entire home,Entire home/apt,8,4,6,960
Home in Binibequer,Elena,No info,Sant Lluis,Entire home,Entire home/apt,6,3,4,308
Chalet in Ciutadella de Menorca,Gabri,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,4,1,4,85
Home in Son Parc,Laurent,No info,Es Mercadal,Entire home,Entire home/apt,6,3,5,250
Ranch in Illes Balears,Alejandro,No info,Mahon,Private room in ranch,Private room,2,1,1,500
Casa particular in Es Migjorn Gran,Carmen,No info,Es Migjorn Gran,Private room in Casa particular,Private room,2,1,1,80
Villa in Cap d'Artrutx,AITCAR BCN Indulging Apartments SL,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,9,3,7,220
Villa in Binibequer,Villa Plus,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,442
Home in Es Mercadal,Laura,No info,Es Mercadal,Entire home,Entire home/apt,6,2,0,106
Villa in Cala Galdana,Sonne Villas,No info,Ferreries,Entire villa,Entire home/apt,8,3,6,150
Chalet in Es Mercadal,Lorenzo,No info,Es Mercadal,Entire chalet,Entire home/apt,4,1,5,196
Rental unit in Son Parc,Holidu,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,105
Condo in Cap d'Artrutx,Carlos,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,81
Villa in Son Carrio,Rosa,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,2,5,397
Villa in Sant Jaume,Holidu,No info,Alaior,Entire villa,Entire home/apt,8,3,7,295
Vacation home in San Jaime Mediterraneo,Julio,No info,Alaior,Entire vacation home,Entire home/apt,4,1,4,140
Villa in Cap d'Artrutx,Herve,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,2,7,247
Villa in Cala en Porter,Villa Plus,No info,Alaior,Entire villa,Entire home/apt,6,2,5,355
Villa in Cala en Porter,Richard,No info,Alaior,Entire villa,Entire home/apt,6,2,5,275
Rental unit in Cala en Bosc,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,150
Rental unit in Son Parc,Rolancost,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,120
Villa in Sant Jaume,Olivers,No info,Alaior,Entire villa,Entire home/apt,6,2,0,125
Rental unit in San Jaime Mediterraneo,Jorge,No info,Alaior,Entire rental unit,Entire home/apt,4,1,4,195
Villa in Sant Tomas,Carmen,No info,Es Migjorn Gran,Entire villa,Entire home/apt,6,2,7,263
Home in Son Xoriguer,Daniel,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,3,250
Serviced apartment in Cala Galdana,Menorca Maravilla,No info,Ferreries,Entire serviced apartment,Entire home/apt,5,2,4,1400
Home in Cap d'Artrutx,Eduardo,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,3,100
Condo in Son Bou,Luis,No info,Alaior,Entire condo,Entire home/apt,4,1,4,65
Rental unit in Es Mercadal,Dorte,No info,Es Mercadal,Private room in rental unit,Private room,2,1,1,50
Villa in Ciudadela de Menorca,Cocoislander Sl,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,260
Rental unit in Port d'Addaia,Homerti,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,2,221
Villa in Son Bou,Villas,No info,Alaior,Entire villa,Entire home/apt,10,4,7,513
Villa in Cap d'Artrutx,Margarita,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,150
Home in San Jaime Mediterraneo,Gurbia,No info,Alaior,Entire home,Entire home/apt,6,2,4,435
Condo in Son Xoriguer,Richard,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,168
Vacation home in Ciutadella de Menorca,Antoni Lluis,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,8,2,5,632
Condo in Son Xoriguer,Richard,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,4,178
Condo in San Jaime Mediterraneo,Toyo,No info,Alaior,Entire condo,Entire home/apt,4,1,3,105
Home in Ciutadella de Menorca,Richard,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,157
Villa in Fornells,Juana Victoria,No info,Es Mercadal,Entire villa,Entire home/apt,8,3,5,721
Villa in Es Mercadal,Richard,No info,Es Mercadal,Entire villa,Entire home/apt,6,2,4,309
Rental unit in Ciutadella de Menorca,Ana,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,100
Villa in Binibequer,Villa Plus,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,482
Rental unit in Arenal d'en Castell,Miguel - Interhome Group,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,4,138
Villa in Sant Tomas,Villa Plus,No info,Es Migjorn Gran,Entire villa,Entire home/apt,6,2,5,633
Villa in Binibequer,Paolo,No info,Sant Lluis,Entire villa,Entire home/apt,10,5,10,900
Rental unit in Illes Balears,Holidu,No info,Es Mercadal,Entire rental unit,Entire home/apt,5,2,4,95
Home in Arenal d'en Castell,Miguel - Interhome Group,No info,Es Mercadal,Entire home,Entire home/apt,10,4,8,230
Villa in Illes Balears,Solmar,No info,Ferreries,Entire villa,Entire home/apt,8,3,6,613
Rental unit in Fornells,Javier,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,1,5,165
Home in Ciutadella de Menorca,Holidu,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,3,95
Condo in Cap d'Artrutx,Angel,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,150
Home in Ciutadella de Menorca,Giovanni,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,4,335
Cottage in Cala Blanca,MauterVillas,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,6,2,5,140
Rental unit in Fornells,Javier,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,5,165
Vacation home in Cala Galdana,Alejandro,No info,Ferreries,Entire vacation home,Entire home/apt,4,1,4,200
Villa in Sant Tomas,Menorca Maravilla,No info,Es Migjorn Gran,Entire villa,Entire home/apt,8,3,6,1680
Villa in Cala Galdana,Menorca Maravilla,No info,Ferreries,Entire villa,Entire home/apt,8,4,7,1960
Serviced apartment in Serpentona,Menorca Maravilla,No info,Ciutadella de Menorca,Entire serviced apartment,Entire home/apt,4,1,2,568
Villa in Torre Soli Nou,Menorcarentals Villa S.L.,No info,Alaior,Entire villa,Entire home/apt,6,1,4,162
Villa in Binibequer,Richard,No info,Sant Lluis,Entire villa,Entire home/apt,8,2,7,470
Cottage in Torre del Ram,Begona,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,6,2,4,350
Rental unit in Mao,Janet,No info,Mahon,Private room in rental unit,Private room,2,1,1,84
Villa in Es Mercadal,Villa Plus,No info,Es Mercadal,Entire villa,Entire home/apt,8,3,7,427
Cottage in Mao,Daymi,No info,Mahon,Private room in cottage,Private room,2,1,1,125
Rental unit in Torre del Ram,Andreu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1,2,55
Cottage in Es Mercadal,L'Enzell Menorca,No info,Es Mercadal,Entire cottage,Entire home/apt,6,2,6,174
Loft in Cala Morell,Martin,No info,Ciutadella de Menorca,Entire loft,Entire home/apt,2,1,1,85
Villa in Son Bou,World2Meet,No info,Alaior,Entire villa,Entire home/apt,6,2,5,109
Cottage in Mao,Paqui,No info,Mahon,Entire cottage,Entire home/apt,4,2,3,160
Home in Es Grau,Darren,No info,Mahon,Entire home,Entire home/apt,8,4,6,114
Rental unit in Cala Morell,Martin,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1,2,95
Loft in S'Algar,Santi,No info,Sant Lluis,Entire loft,Entire home/apt,2,1,1,100
Villa in Punta Prima,Gemma,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,6,115
Cottage in Ciutadella de Menorca,Paula,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,8,2,6,225
Chalet in Menorca,Barbara,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,3,5,100
Villa in S'Algar,Paul,No info,Sant Lluis,Entire villa,Entire home/apt,5,1,3,171
Villa in S'Algar,Villa Plus,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,300
Villa in Punta prima,Maria,No info,Sant Lluis,Entire villa,Entire home/apt,5,1,4,126
Rental unit in Platges de Fornells,Maria,No info,Es Mercadal,Entire rental unit,Entire home/apt,3,1,2,259
Condo in San Jaime Mediterraneo,Joseph,No info,Alaior,Entire condo,Entire home/apt,4,1,3,57
Villa in Alcaufar,Holidu,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,7,324
Villa in Cala en Porter,World2Meet,No info,Alaior,Entire villa,Entire home/apt,6,2,5,133
Villa in Cala Galdana,Sonne Villas,No info,Ferreries,Entire villa,Entire home/apt,5,2,4,150
Villa in Binidali,Solmar,No info,Mahon,Entire villa,Entire home/apt,7,2,6,392
Townhouse in Binibeca playa,Steven,No info,Sant Lluis,Private room in townhouse,Private room,1,0,2,2500
Villa in Cala en Porter,Ron,No info,Alaior,Entire villa,Entire home/apt,6,2,4,90
Home in Punta Prima,Marta,No info,Sant Lluis,Entire home,Entire home/apt,8,3,4,246
Villa in Sant Lluis,Homerti,No info,Mahon,Entire villa,Entire home/apt,10,3,5,584
Rental unit in Balearic Islands,Jonathan,No info,Es Mercadal,Entire rental unit,Entire home/apt,3,1,2,78
Villa in Sant Jaume,Prestige Villas Spain,No info,Alaior,Entire villa,Entire home/apt,6,3,5,0
Rental unit in San Jaime Mediterraneo,Virginia,No info,Alaior,Entire rental unit,Entire home/apt,8,0,7,118
Hotel in Es Migjorn Gran,Pere,No info,Es Migjorn Gran,Room in Hotel,Private room,2,1,1,80
Rental unit in Cala Morell,Edoardo,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,7,2,4,590
Home in Santo Tomas,Gurbia,No info,Es Migjorn Gran,Entire home,Entire home/apt,9,4,8,415
Serviced apartment in Santo Tomas,Seth Mestral & Llebeig,No info,Es Migjorn Gran,Entire serviced apartment,Entire home/apt,4,1,2,200
Vacation home in Alaior,Nicola,No info,Alaior,Entire vacation home,Entire home/apt,4,1,3,88
Home in Es Mercadal,Barber Coll,No info,Es Mercadal,Entire home,Entire home/apt,4,1,4,101
Rental unit in Arenal d'en Castell,Gurbia,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,3,3,84
Home in Mao,Andrea,No info,Mahon,Entire home,Entire home/apt,3,1,1,50
Townhouse in Mao,Yolanda,No info,Mahon,Entire townhouse,Entire home/apt,5,2,3,250
Rental unit in Ciutadella de Menorca,Daniel,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,79
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,106
Villa in Sant Jaume,World2Meet,No info,Alaior,Entire villa,Entire home/apt,6,2,5,122
Rental unit in Torre Soli Nou,Manuel,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,120
Home in Cala Morell,Rosi,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,260
Chalet in Ciutadella de Menorca,Francisco,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,14,4,12,194
Townhouse in Sant Luis,Mirca,No info,Sant Lluis,Private room in bed and breakfast,Private room,2,1,1,82
Rental unit in Es Mercadal,Oasis,No info,Es Mercadal,Entire rental unit,Entire home/apt,5,1,4,76
Villa in Son Cabrises,Menorca Habitat,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,142
Home in Cap d'en Font,Marta,No info,Sant Lluis,Entire home,Entire home/apt,8,3,10,200
Rental unit in Es Castell,Josune,No info,Es Castell,Entire rental unit,Entire home/apt,3,1,2,50
Rental unit in Ciutadella de Menorca,Juan Miguel,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,80
Villa in Binibequer,Holidu,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,236
Villa in Cala Galdana,Sonne Villas,No info,Ferreries,Entire villa,Entire home/apt,7,2,5,121
Villa in Cap d'en Font,Menorca Luxury Broker,No info,Sant Lluis,Entire villa,Entire home/apt,8,4,7,1159
Rental unit in Cala en Porter,Elisabeth,No info,Alaior,Entire rental unit,Entire home/apt,4,1,2,68
Villa in Sant Tomas,World2Meet,No info,Es Migjorn Gran,Entire villa,Entire home/apt,6,2,5,200
Villa in Binisafua,Menorca Habitat,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,4,142
Vacation home in Son Parc,Pauline,No info,Es Mercadal,Entire vacation home,Entire home/apt,4,1,3,80
Villa in Sant Jaume,World2Meet,No info,Alaior,Entire villa,Entire home/apt,6,2,5,151
Rental unit in San Jaime Mediterraneo,Barber Coll,No info,Alaior,Entire rental unit,Entire home/apt,6,1,5,101
Home in Cala Galdana,M Esperanza,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,158
Townhouse in Cala Morell,Carlos,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,14,4,12,414
Townhouse in Carretera Binidali,Yolanda,No info,Mahon,Private room in bed and breakfast,Private room,3,1,2,138
Home in Cala en Porter,Gurbia,No info,Alaior,Entire home,Entire home/apt,6,2,4,157
Home in Cala Morell,Martin,No info,Ciutadella de Menorca,Entire home,Entire home/apt,9,4,7,290
Tiny home in Illes Balears,Gaston,No info,Sant Lluis,Tiny home,Entire home/apt,2,1,1,95
Villa in Binidali,Dennis,No info,Mahon,Entire villa,Entire home/apt,7,2,0,366
Condo in Binisafua,Katrina Y Julia,No info,Sant Lluis,Entire condo,Entire home/apt,2,1,1,120
Condo in Binisafua,Katrina Y Julia,No info,Sant Lluis,Entire condo,Entire home/apt,2,1,3,120
Villa in Sant Jaume,Prestige Villas Spain,No info,Alaior,Entire villa,Entire home/apt,8,3,7,0
Chalet in Cala Morell,Victor,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,2,7,450
Vacation home in Cala en Porter,Maria,No info,Alaior,Entire vacation home,Entire home/apt,4,1,4,154
Chalet in Puerto Luz,Carmen,No info,Es Mercadal,Private room in chalet,Private room,7,2,6,300
Home in Binibequer,Holidu,No info,Sant Lluis,Entire home,Entire home/apt,4,2,3,122
Home in Mao,Piedad,No info,Mahon,Entire home,Entire home/apt,5,2,3,95
Home in Binisafua,Nicolas,No info,Sant Lluis,Entire home,Entire home/apt,2,1,1,250
Home in Binisafua,Holidu,No info,Sant Lluis,Entire home,Entire home/apt,4,1,4,79
Home in San Luis,Menorca Habitat,No info,Sant Lluis,Entire home,Entire home/apt,2,1,1,110
Home in Ciutadella de Menorca,Gemma,No info,Ciutadella de Menorca,Private room in home,Private room,1,1,1,30
Rental unit in Illes Balears,Frank,No info,Es Mercadal,Entire rental unit,Entire home/apt,2,1,2,78
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,3,2,2,125
Guesthouse in Sant Lluis,Judith,No info,Sant Lluis,Entire guesthouse,Entire home/apt,3,1,1,150
Rental unit in Platges de Fornells,Frank,No info,Es Mercadal,Entire rental unit,Entire home/apt,5,2,3,250
Villa in Sant Lluis,Menorca Luxury Broker,No info,Sant Lluis,Entire villa,Entire home/apt,10,3,7,200
Rental unit in Platges de Fornells,Inmobiliaria,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,237
Hotel in Es Mercadal,Vicent,No info,Es Mercadal,Room in Hotel,Private room,2,1,1,124
Rental unit in Cala Galdana,Sonne Villas,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,2,3,92
Chalet in Illes Balears,Juan Miguel,No info,Ciutadella de Menorca,Private room in chalet,Private room,2,1,1,79
Villa in Binissafuller,Villas,No info,Sant Lluis,Entire villa,Entire home/apt,10,5,7,248
Home in Punta Prima,Catherine,No info,Sant Lluis,Entire home,Entire home/apt,7,2,5,450
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,152
Villa in Son Parc,Phil And Trish,No info,Es Mercadal,Private room in villa,Private room,2,1,2,74
Cottage in Menorca,Anne,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,4,1,3,160
Home in Ciutadella de Menorca,Andrea Estefania,No info,Ciutadella de Menorca,Private room in home,Private room,2,1,1,69
Rental unit in Mao,Jetsun Sebastian,No info,Mahon,Entire rental unit,Entire home/apt,2,1,1,157
Villa in Sant Jaume,World2Meet,No info,Alaior,Entire villa,Entire home/apt,6,2,5,97
Cottage in Sant Lluis,Menorca Habitat,No info,Sant Lluis,Entire cottage,Entire home/apt,8,3,6,201
Cottage in Alaior,Siscu,No info,Alaior,Entire cottage,Entire home/apt,2,1,1,125
Home in Alaior,Siscu,No info,Alaior,Entire home,Entire home/apt,6,3,3,125
Rental unit in Fornells,Jaume,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,85
Condo in Binisafua,Zurbano 111,No info,Sant Lluis,Entire condo,Entire home/apt,3,1,2,71
Townhouse in Ciutadella de Menorca,Antonio,No info,Ciutadella de Menorca,Private room in townhouse,Private room,2,2,1,55
Rental unit in Son Parc,Holidu,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,2,3,130
Villa in Torre del Ram,Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,2,7,185
Villa in Torre del Ram,World2Meet,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,116
Vacation home in San Jaime Mediterraneo,Jessica,No info,Alaior,Entire vacation home,Entire home/apt,4,1,4,121
Villa in Sant Jaume,Menorcarentals Villa S.L.,No info,Alaior,Entire villa,Entire home/apt,5,2,3,290
Condo in Cala en Porter,David,No info,Alaior,Entire condo,Entire home/apt,3,1,3,100
Farm stay in Illes Balears,Holidu,No info,Alaior,Farm stay,Entire home/apt,2,1,1,188
Villa in Son Parc,Richard,No info,Es Mercadal,Entire villa,Entire home/apt,8,2,6,333
Rental unit in Ses Salines,Inmobiliaria,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,120
