IdVenta,Fecha,Producto,Categoria,Ciudad,Precio,Cantidad
37,2023-11-26,Ratón,Accesorios,Madrid,1306.65,1
38,2022-07-23,Ratón,Informática,Barcelona,521.9,3
39,2023-06-06,Portátil,Accesorios,Sevilla,1816.61,6
40,2023-10-29,Disco SSD,Accesorios,Sevilla,1350.98,2
41,2022-04-28,Impresora,Gaming,Valencia,1880.43,6
42,2024-09-18,Webcam,Informática,Zaragoza,1135.05,5
43,2023-08-13,Auriculares,Oficina,Barcelona,1333.84,1
44,2022-02-20,Portátil,Gaming,Madrid,773.87,6
45,2022-01-03,Portátil,Informática,Valencia,1942.85,6
46,2023-02-21,Monitor,Accesorios,Valladolid,1338.95,4
47,2022-04-22,Altavoz,Accesorios,Sevilla,1119.72,8
48,2023-04-16,Teclado,Accesorios,Sevilla,1054.42,9
49,2023-12-31,Impresora,Oficina,Madrid,840.61,10
50,2024-05-25,Ratón,Informática,Barcelona,1162.53,6
51,2023-01-23,Auriculares,Oficina,Valencia,167.66,10
52,2023-10-25,Teclado,Informática,Málaga,1062.03,9
53,2022-07-10,Auriculares,Gaming,Madrid,540.62,7
54,2023-02-08,Teclado,Accesorios,Valencia,728.09,7
55,2022-01-16,Ratón,Oficina,Málaga,375.36,9
56,2022-09-19,Teclado,Oficina,Bilbao,1679.18,7
57,2024-08-30,Altavoz,Informática,Valladolid,718.62,9
58,2023-12-14,Webcam,Gaming,Bilbao,1739.11,1
59,2023-11-22,Monitor,Informática,Málaga,1079.92,8
60,2024-06-10,Auriculares,Accesorios,Madrid,98.61,6
61,2023-11-04,Teclado,Oficina,Valencia,882.7,9
62,2024-01-10,Portátil,Informática,Zaragoza,735.77,8
63,2023-03-02,Impresora,Informática,Valencia,1533.06,3
64,2023-12-27,Monitor,Gaming,Valladolid,1238.53,1
65,2022-10-16,Disco SSD,Gaming,Valladolid,1193.19,5
66,2022-10-07,Tablet,Oficina,Zaragoza,1006.23,4
67,2024-01-03,Tablet,Gaming,Valladolid,516.71,9
68,2023-11-24,Monitor,Oficina,Zaragoza,1374.66,6
69,2024-06-06,Monitor,Accesorios,Valencia,1853.55,4
70,2022-12-27,Disco SSD,Oficina,Valencia,1114.96,8
71,2022-07-18,Auriculares,Informática,Valencia,856.44,10
72,2022-09-14,Disco SSD,Oficina,Valencia,1799.29,5
73,2023-11-13,Impresora,Accesorios,Madrid,1461.29,5
74,2022-08-06,Portátil,Informática,Barcelona,401.52,9
75,2023-03-19,Tablet,Informática,Valencia,619.79,10
76,2023-06-02,Auriculares,Accesorios,Málaga,1613.75,8
77,2022-10-22,Impresora,Accesorios,Barcelona,74.98,4
78,2024-02-12,Ratón,Oficina,Madrid,1690.5,4
79,2023-07-10,Disco SSD,Oficina,Madrid,347.04,3
80,2022-06-20,Altavoz,Informática,Sevilla,1647.51,2
81,2023-11-14,Tablet,Accesorios,Valladolid,1465.96,2
82,2022-05-02,Tablet,Oficina,Sevilla,863.68,2
83,2022-02-27,Tablet,Gaming,Zaragoza,173.13,5
84,2024-03-18,Tablet,Gaming,Valladolid,1059.58,6
85,2023-06-17,Webcam,Accesorios,Zaragoza,564.61,2
86,2024-09-21,Teclado,Gaming,Bilbao,587.43,9
87,2024-02-07,Webcam,Informática,Bilbao,1774.85,6
88,2023-10-31,Teclado,Oficina,Bilbao,1516.62,9
89,2024-02-03,Impresora,Accesorios,Valencia,596.48,7
90,2023-07-22,Disco SSD,Informática,Madrid,979.75,8
91,2023-05-03,Auriculares,Gaming,Zaragoza,372.68,4
92,2023-03-21,Teclado,Oficina,Valencia,692.46,9
93,2023-11-02,Ratón,Informática,Barcelona,300.42,4
94,2022-08-07,Altavoz,Accesorios,Zaragoza,568.04,9
95,2022-01-03,Disco SSD,Oficina,Valladolid,1807.05,3
96,2022-05-26,Impresora,Gaming,Zaragoza,21.5,8
97,2023-05-07,Monitor,Oficina,Barcelona,1186.0,7
98,2023-01-01,Monitor,Informática,Barcelona,1634.86,8
99,2024-03-17,Webcam,Oficina,Bilbao,681.6,8
100,2022-06-25,Webcam,Accesorios,Madrid,1968.06,8
101,2022-05-19,Impresora,Accesorios,Valladolid,42.88,4
102,2022-07-06,Tablet,Oficina,Valladolid,1087.48,9
103,2023-07-06,Webcam,Oficina,Valladolid,1640.69,4
104,2023-08-20,Impresora,Oficina,Zaragoza,707.45,8
105,2024-04-05,Webcam,Accesorios,Valladolid,297.79,9
106,2024-04-28,Tablet,Gaming,Málaga,1724.94,9
107,2024-03-12,Teclado,Accesorios,Bilbao,1838.73,5
108,2022-03-15,Teclado,Oficina,Valladolid,1339.0,9
109,2024-09-06,Teclado,Oficina,Valencia,1005.18,9
110,2023-01-09,Monitor,Informática,Barcelona,1928.94,10
111,2023-09-15,Impresora,Accesorios,Madrid,1181.59,4
112,2024-04-07,Webcam,Gaming,Madrid,1298.37,1
113,2022-05-23,Auriculares,Informática,Málaga,1905.84,10
114,2022-10-20,Webcam,Oficina,Madrid,1854.51,3
115,2024-02-03,Monitor,Informática,Valladolid,1154.72,8
116,2023-12-25,Webcam,Accesorios,Málaga,1706.45,9
117,2023-07-29,Auriculares,Informática,Madrid,1395.7,7
118,2023-02-07,Webcam,Gaming,Málaga,1970.49,6
119,2023-09-20,Altavoz,Oficina,Valencia,1448.73,2
120,2022-08-07,Ratón,Informática,Madrid,37.58,8
121,2023-07-16,Disco SSD,Gaming,Madrid,616.88,5
122,2022-02-10,Impresora,Gaming,Zaragoza,1170.46,5
123,2023-09-15,Webcam,Accesorios,Barcelona,554.26,4
124,2024-04-18,Ratón,Oficina,Valladolid,1494.12,4
125,2024-05-16,Auriculares,Informática,Valencia,1954.94,4
126,2023-05-25,Altavoz,Gaming,Valladolid,822.64,10
127,2022-11-27,Impresora,Oficina,Barcelona,856.27,3
128,2022-12-23,Impresora,Informática,Málaga,1430.11,5
129,2023-01-13,Ratón,Informática,Málaga,352.8,2
130,2022-02-06,Disco SSD,Oficina,Valencia,632.85,1
131,2024-02-28,Portátil,Informática,Bilbao,743.07,1
132,2023-02-02,Tablet,Informática,Madrid,952.57,5
133,2023-08-21,Impresora,Oficina,Valencia,76.27,3
134,2022-07-19,Disco SSD,Accesorios,Sevilla,1798.32,5
135,2024-02-16,Auriculares,Accesorios,Málaga,465.84,3
136,2022-12-03,Monitor,Informática,Barcelona,1160.48,8
137,2022-04-27,Disco SSD,Informática,Valladolid,951.16,2
138,2023-04-04,Auriculares,Informática,Bilbao,1657.61,5
139,2023-04-03,Portátil,Informática,Sevilla,273.68,9
140,2022-10-01,Tablet,Informática,Valladolid,884.75,8
141,2022-01-24,Tablet,Accesorios,Sevilla,547.4,4
142,2024-06-09,Teclado,Informática,Valencia,1857.73,1
143,2024-01-24,Ratón,Informática,Zaragoza,226.65,10
144,2024-09-09,Altavoz,Accesorios,Málaga,1034.61,2
145,2023-05-20,Auriculares,Oficina,Málaga,61.35,3
146,2024-03-03,Ratón,Accesorios,Zaragoza,484.75,3
147,2022-11-22,Webcam,Oficina,Bilbao,230.59,6
148,2023-04-18,Webcam,Accesorios,Zaragoza,930.1,2
149,2023-09-28,Auriculares,Oficina,Madrid,1649.41,1
150,2024-02-24,Altavoz,Gaming,Málaga,1897.51,10
151,2022-10-25,Altavoz,Gaming,Barcelona,1579.66,8
152,2024-08-11,Altavoz,Accesorios,Sevilla,1413.07,7
153,2023-12-17,Altavoz,Gaming,Valencia,1743.67,5
154,2023-06-07,Portátil,Informática,Madrid,1494.13,10
155,2023-01-06,Ratón,Oficina,Valencia,366.72,9
156,2023-06-20,Disco SSD,Accesorios,Bilbao,460.84,10
157,2023-02-17,Auriculares,Accesorios,Sevilla,259.2,7
158,2023-09-25,Portátil,Informática,Valencia,210.55,8
159,2023-11-21,Disco SSD,Gaming,Sevilla,1576.45,7
160,2023-10-24,Ratón,Accesorios,Málaga,1115.5,5
161,2023-12-01,Disco SSD,Gaming,Madrid,1899.41,10
162,2024-05-30,Altavoz,Oficina,Valladolid,473.32,5
163,2023-01-29,Teclado,Informática,Valladolid,99.08,7
164,2023-06-10,Monitor,Oficina,Valladolid,568.47,2
165,2022-12-20,Webcam,Oficina,Sevilla,1214.85,1
166,2023-10-18,Portátil,Informática,Madrid,364.43,10
167,2022-08-11,Portátil,Accesorios,Madrid,1390.64,6
168,2023-08-13,Ratón,Gaming,Valencia,1661.73,3
169,2022-07-20,Webcam,Oficina,Málaga,1728.19,10
170,2022-09-28,Auriculares,Gaming,Sevilla,335.07,10
171,2024-02-13,Teclado,Gaming,Barcelona,1373.37,2
172,2023-11-20,Monitor,Accesorios,Bilbao,826.56,2
173,2024-03-18,Monitor,Accesorios,Valladolid,1720.23,4
174,2022-06-04,Altavoz,Gaming,Valladolid,401.13,1
175,2023-09-29,Impresora,Gaming,Sevilla,1112.65,7
176,2022-09-24,Monitor,Informática,Sevilla,1837.13,2
177,2023-05-08,Altavoz,Accesorios,Valladolid,1928.87,4
178,2022-12-15,Auriculares,Accesorios,Málaga,1191.44,7
179,2023-10-30,Altavoz,Oficina,Madrid,362.98,1
180,2022-02-04,Altavoz,Oficina,Madrid,1889.93,2
181,2023-01-21,Portátil,Informática,Valencia,1285.05,1
182,2024-06-14,Auriculares,Informática,Sevilla,1011.06,8
183,2022-05-11,Impresora,Gaming,Valladolid,141.41,1
184,2024-07-21,Teclado,Accesorios,Zaragoza,859.36,4
185,2022-02-12,Portátil,Oficina,Bilbao,1060.97,4
186,2023-06-04,Auriculares,Accesorios,Barcelona,1891.25,3
187,2023-01-24,Altavoz,Oficina,Bilbao,658.53,1
188,2024-09-20,Disco SSD,Oficina,Valladolid,47.39,7
189,2024-04-20,Teclado,Accesorios,Valladolid,898.04,6
190,2022-05-17,Monitor,Accesorios,Valladolid,791.3,4
191,2023-08-23,Portátil,Accesorios,Bilbao,1845.98,9
192,2024-06-12,Impresora,Accesorios,Sevilla,907.86,4
193,2024-07-28,Auriculares,Gaming,Málaga,1569.11,9
194,2022-04-10,Webcam,Informática,Madrid,1358.92,5
195,2022-09-10,Portátil,Gaming,Barcelona,215.78,5
196,2024-07-01,Disco SSD,Oficina,Madrid,363.18,2
197,2023-10-09,Monitor,Oficina,Valencia,1040.79,4
198,2024-07-18,Portátil,Informática,Sevilla,596.92,7
199,2024-07-13,Tablet,Informática,Málaga,1721.69,9
200,2022-07-05,Webcam,Informática,Málaga,1008.34,5
201,2022-08-28,Tablet,Oficina,Valladolid,856.27,8
202,2024-05-06,Tablet,Accesorios,Sevilla,385.86,10
203,2022-09-05,Tablet,Gaming,Madrid,1230.91,3
204,2022-10-01,Portátil,Oficina,Valencia,814.09,8
205,2022-11-10,Teclado,Accesorios,Sevilla,1548.43,2
206,2022-05-28,Impresora,Informática,Barcelona,581.19,7
207,2024-04-11,Auriculares,Informática,Madrid,1876.68,4
208,2022-01-13,Auriculares,Accesorios,Valladolid,1139.8,1
209,2022-10-05,Disco SSD,Gaming,Barcelona,1082.69,9
210,2022-11-28,Tablet,Oficina,Barcelona,228.41,4
211,2022-07-20,Disco SSD,Informática,Bilbao,1899.32,8
212,2024-06-22,Monitor,Oficina,Sevilla,208.55,10
213,2022-02-13,Impresora,Oficina,Valencia,617.66,7
214,2022-03-19,Monitor,Informática,Madrid,570.41,10
215,2023-05-20,Monitor,Oficina,Bilbao,1748.45,5
216,2023-09-22,Altavoz,Accesorios,Sevilla,863.45,8
217,2024-02-23,Impresora,Gaming,Málaga,1311.16,2
218,2022-04-02,Ratón,Gaming,Valladolid,757.92,3
219,2023-08-25,Monitor,Oficina,Valladolid,966.36,8
220,2024-03-07,Disco SSD,Accesorios,Barcelona,1854.9,9
221,2022-10-08,Disco SSD,Accesorios,Valladolid,1481.72,8
222,2023-05-25,Portátil,Gaming,Sevilla,370.04,9
223,2022-05-06,Altavoz,Accesorios,Barcelona,392.94,6
224,2022-03-21,Webcam,Informática,Valencia,1376.09,10
225,2022-08-04,Impresora,Accesorios,Valladolid,166.15,9
226,2023-01-10,Tablet,Informática,Zaragoza,1715.81,7
227,2022-06-01,Webcam,Accesorios,Bilbao,998.34,1
228,2022-01-10,Tablet,Informática,Sevilla,269.9,2
229,2022-08-11,Tablet,Gaming,Zaragoza,164.26,8
230,2023-11-29,Altavoz,Gaming,Bilbao,1565.27,10
231,2022-03-04,Monitor,Gaming,Madrid,1556.02,9
232,2023-10-29,Auriculares,Oficina,Málaga,647.09,6
233,2024-09-15,Disco SSD,Gaming,Bilbao,1774.14,1
234,2022-02-21,Impresora,Informática,Madrid,143.96,4
235,2022-08-01,Altavoz,Accesorios,Bilbao,1361.61,4
236,2023-04-19,Auriculares,Accesorios,Sevilla,1297.34,4
237,2022-09-11,Impresora,Oficina,Sevilla,372.27,3
238,2024-07-16,Impresora,Accesorios,Barcelona,1890.18,9
239,2024-02-05,Altavoz,Oficina,Zaragoza,700.99,10
240,2022-10-26,Portátil,Oficina,Málaga,133.06,8
241,2023-04-23,Altavoz,Accesorios,Barcelona,706.27,9
242,2023-09-09,Webcam,Informática,Sevilla,225.62,9
243,2024-08-17,Webcam,Oficina,Málaga,765.7,7
244,2022-05-05,Auriculares,Informática,Málaga,1970.27,2
245,2023-09-27,Teclado,Accesorios,Madrid,531.63,10
246,2023-01-29,Monitor,Gaming,Bilbao,1374.98,4
247,2022-02-03,Disco SSD,Informática,Bilbao,1093.91,1
248,2022-03-09,Altavoz,Oficina,Valladolid,1047.49,5
249,2024-07-30,Portátil,Oficina,Valencia,1691.45,7
250,2022-05-19,Auriculares,Gaming,Málaga,13.36,2
251,2022-10-24,Auriculares,Oficina,Bilbao,1287.18,6
252,2022-01-08,Disco SSD,Gaming,Málaga,156.67,1
253,2024-02-03,Disco SSD,Oficina,Valladolid,499.78,8
254,2023-12-04,Monitor,Informática,Valencia,1097.74,1
255,2023-07-21,Auriculares,Gaming,Barcelona,671.38,6
256,2024-07-14,Portátil,Gaming,Málaga,1386.18,6
257,2024-09-27,Webcam,Informática,Sevilla,818.64,9
258,2022-01-04,Tablet,Gaming,Valencia,220.94,7
259,2023-12-25,Portátil,Oficina,Valladolid,1662.27,5
260,2022-04-23,Auriculares,Gaming,Madrid,1558.33,8
261,2022-01-14,Portátil,Oficina,Sevilla,723.69,2
262,2024-06-25,Webcam,Informática,Sevilla,862.58,3
263,2023-10-03,Impresora,Gaming,Valladolid,1738.63,6
264,2022-06-23,Monitor,Gaming,Madrid,366.27,9
265,2023-06-25,Teclado,Accesorios,Sevilla,1470.74,1
266,2022-07-24,Disco SSD,Informática,Zaragoza,748.25,10
267,2024-09-20,Webcam,Oficina,Madrid,1033.6,3
268,2023-03-22,Disco SSD,Oficina,Valencia,1493.85,6
269,2023-02-15,Teclado,Oficina,Valencia,88.82,2
270,2022-09-28,Impresora,Informática,Bilbao,1802.11,10
271,2022-12-01,Ratón,Accesorios,Bilbao,1274.25,6
272,2023-02-19,Auriculares,Accesorios,Valencia,1363.36,3
273,2022-09-29,Disco SSD,Oficina,Barcelona,1906.79,8
274,2023-12-25,Auriculares,Oficina,Bilbao,1664.24,10
275,2023-12-09,Tablet,Oficina,Madrid,753.38,7
276,2022-03-07,Webcam,Oficina,Barcelona,776.68,9
277,2022-06-28,Disco SSD,Gaming,Valladolid,839.57,2
278,2022-07-03,Teclado,Accesorios,Zaragoza,1560.96,10
279,2023-05-17,Ratón,Accesorios,Bilbao,186.94,2
280,2023-10-17,Ratón,Gaming,Madrid,1205.98,8
281,2023-03-20,Portátil,Informática,Valencia,102.74,8
282,2022-03-25,Impresora,Accesorios,Madrid,517.81,9
283,2022-11-19,Monitor,Informática,Valencia,860.98,6
284,2023-12-01,Disco SSD,Accesorios,Valencia,31.67,6
285,2024-01-03,Disco SSD,Gaming,Barcelona,425.81,4
286,2024-09-19,Altavoz,Oficina,Zaragoza,386.09,4
287,2022-07-16,Webcam,Oficina,Zaragoza,1681.31,6
288,2022-12-17,Impresora,Oficina,Madrid,774.29,9
289,2022-10-29,Impresora,Informática,Bilbao,916.61,1
290,2023-12-17,Ratón,Accesorios,Málaga,200.72,5
291,2024-02-24,Impresora,Accesorios,Barcelona,1269.78,1
292,2023-02-02,Disco SSD,Accesorios,Málaga,745.61,2
293,2022-12-01,Webcam,Informática,Valencia,371.12,2
294,2023-06-11,Tablet,Accesorios,Málaga,683.64,2
295,2024-08-21,Teclado,Informática,Málaga,636.28,7
296,2024-06-21,Ratón,Oficina,Valencia,1620.62,8
297,2022-01-15,Teclado,Accesorios,Sevilla,1483.05,4
298,2022-08-30,Portátil,Informática,Madrid,733.45,6
299,2023-01-10,Impresora,Accesorios,Zaragoza,1984.32,7
300,2024-06-07,Portátil,Gaming,Madrid,1354.24,10
301,2023-10-06,Disco SSD,Oficina,Bilbao,258.68,4
302,2024-07-08,Monitor,Accesorios,Málaga,1290.62,8
303,2022-04-29,Portátil,Informática,Bilbao,1563.2,7
304,2022-04-24,Auriculares,Accesorios,Bilbao,764.17,8
305,2022-02-08,Ratón,Accesorios,Madrid,943.44,4
306,2024-06-07,Impresora,Gaming,Valencia,1754.63,9
307,2022-04-19,Tablet,Informática,Madrid,1120.13,2
308,2023-05-21,Altavoz,Oficina,Valladolid,99.82,2
309,2022-10-08,Webcam,Accesorios,Madrid,443.59,6
310,2022-03-07,Webcam,Informática,Barcelona,1709.32,10
311,2022-05-12,Disco SSD,Oficina,Valencia,444.1,3
312,2022-07-14,Impresora,Gaming,Sevilla,199.9,9
313,2022-01-17,Ratón,Informática,Málaga,1923.74,5
314,2023-12-24,Teclado,Informática,Zaragoza,1175.77,10
315,2022-12-21,Monitor,Informática,Málaga,304.49,3
316,2023-06-05,Impresora,Informática,Madrid,1658.61,9
317,2022-01-22,Portátil,Informática,Málaga,1377.22,1
318,2023-04-30,Ratón,Accesorios,Sevilla,1544.26,9
319,2024-05-03,Webcam,Accesorios,Valladolid,1670.16,5
320,2024-07-14,Monitor,Gaming,Barcelona,1755.93,10
321,2022-05-21,Disco SSD,Informática,Valladolid,583.39,3
322,2022-03-21,Altavoz,Accesorios,Zaragoza,209.12,9
323,2022-05-31,Tablet,Gaming,Sevilla,1652.44,5
324,2022-04-09,Ratón,Accesorios,Valencia,10.31,5
325,2023-11-07,Teclado,Accesorios,Valencia,85.32,5
326,2022-05-22,Webcam,Gaming,Zaragoza,469.66,1
327,2024-03-20,Teclado,Oficina,Málaga,1488.84,5
328,2022-11-13,Disco SSD,Gaming,Valencia,1146.34,6
329,2023-04-07,Teclado,Informática,Sevilla,1931.82,3
330,2023-09-27,Teclado,Gaming,Málaga,732.51,6
331,2023-06-30,Altavoz,Informática,Zaragoza,1726.96,9
332,2022-03-10,Ratón,Informática,Zaragoza,1381.4,7
333,2022-01-05,Disco SSD,Oficina,Sevilla,527.53,1
334,2022-12-15,Impresora,Gaming,Sevilla,930.97,4
335,2023-12-14,Ratón,Informática,Madrid,1452.78,4
336,2024-07-27,Ratón,Gaming,Valencia,1138.78,1
337,2022-02-07,Disco SSD,Accesorios,Málaga,23.07,6
338,2022-07-16,Monitor,Accesorios,Zaragoza,458.33,7
339,2023-03-06,Webcam,Accesorios,Málaga,857.22,7
340,2024-03-29,Impresora,Oficina,Valladolid,1170.23,3
341,2023-01-18,Auriculares,Informática,Barcelona,821.3,7
342,2022-03-12,Impresora,Informática,Madrid,165.01,9
343,2023-09-26,Webcam,Oficina,Zaragoza,1713.59,8
344,2023-06-13,Impresora,Accesorios,Valencia,962.74,3
345,2023-07-27,Monitor,Informática,Valladolid,120.19,3
346,2023-08-11,Portátil,Accesorios,Valencia,956.17,4
347,2023-06-14,Auriculares,Accesorios,Barcelona,1310.09,2
348,2022-09-28,Disco SSD,Informática,Bilbao,1063.75,3
349,2023-02-27,Tablet,Oficina,Málaga,144.39,4
350,2024-05-17,Monitor,Oficina,Madrid,1938.51,6
351,2022-12-13,Ratón,Informática,Barcelona,250.25,4
352,2024-04-08,Auriculares,Oficina,Valladolid,1468.86,3
353,2022-05-06,Tablet,Informática,Zaragoza,391.45,3
354,2024-06-02,Altavoz,Gaming,Madrid,1818.36,2
355,2023-10-31,Altavoz,Oficina,Barcelona,378.93,10
356,2023-11-21,Ratón,Oficina,Bilbao,1844.32,9
357,2022-09-08,Altavoz,Informática,Sevilla,1021.04,7
358,2024-08-24,Teclado,Informática,Bilbao,1882.95,7
359,2024-02-28,Teclado,Informática,Sevilla,1866.22,8
360,2024-01-04,Altavoz,Accesorios,Zaragoza,997.59,6
361,2023-08-07,Auriculares,Gaming,Zaragoza,83.45,9
362,2024-01-17,Auriculares,Accesorios,Valencia,1840.91,3
363,2022-07-17,Auriculares,Informática,Zaragoza,985.26,2
364,2024-04-05,Teclado,Gaming,Málaga,1479.54,2
365,2023-08-03,Webcam,Oficina,Valladolid,896.98,10
366,2022-11-06,Tablet,Informática,Sevilla,1443.48,8
367,2024-09-11,Ratón,Oficina,Bilbao,391.32,7
368,2023-04-20,Altavoz,Gaming,Barcelona,1771.28,3
369,2022-08-04,Disco SSD,Accesorios,Madrid,175.22,3
370,2023-08-20,Monitor,Accesorios,Bilbao,125.63,7
371,2022-06-07,Auriculares,Oficina,Valladolid,934.25,4
372,2022-11-28,Ratón,Gaming,Valencia,687.88,8
373,2022-06-06,Portátil,Accesorios,Málaga,1744.78,4
374,2022-01-08,Teclado,Accesorios,Valladolid,1118.86,9
375,2022-01-21,Impresora,Oficina,Bilbao,1610.6,2
376,2022-11-16,Ratón,Accesorios,Barcelona,782.57,7
377,2022-02-27,Ratón,Informática,Valencia,1159.44,3
378,2022-07-19,Auriculares,Gaming,Barcelona,1856.83,6
379,2022-12-09,Altavoz,Informática,Valladolid,1729.19,8
380,2024-01-25,Disco SSD,Oficina,Sevilla,663.98,8
381,2022-05-14,Portátil,Informática,Valencia,1226.73,3
382,2023-05-12,Auriculares,Oficina,Valencia,1386.67,6
383,2022-04-27,Ratón,Oficina,Valladolid,1562.84,7
384,2023-12-05,Monitor,Accesorios,Bilbao,1570.14,9
385,2024-03-13,Webcam,Accesorios,Madrid,505.81,1
386,2022-03-05,Tablet,Gaming,Valladolid,548.15,7
387,2022-09-29,Auriculares,Informática,Sevilla,1353.67,4
388,2024-07-18,Tablet,Accesorios,Valencia,1680.66,1
389,2023-08-12,Portátil,Informática,Barcelona,144.9,5
390,2023-08-29,Auriculares,Oficina,Barcelona,1337.13,4
391,2023-12-05,Auriculares,Accesorios,Málaga,722.91,10
392,2024-06-28,Altavoz,Gaming,Bilbao,510.93,4
393,2022-09-21,Monitor,Gaming,Valladolid,1260.31,6
394,2023-12-01,Disco SSD,Oficina,Málaga,1731.35,8
395,2022-07-03,Monitor,Informática,Valladolid,1194.04,2
396,2022-05-05,Ratón,Informática,Málaga,844.36,5
397,2024-09-24,Ratón,Accesorios,Valencia,1930.39,5
398,2024-01-09,Disco SSD,Gaming,Madrid,318.82,9
399,2023-10-07,Portátil,Oficina,Málaga,918.26,7
400,2022-03-16,Tablet,Accesorios,Bilbao,592.33,6
401,2023-08-06,Tablet,Accesorios,Sevilla,1485.53,4
402,2024-07-30,Monitor,Oficina,Valencia,1729.11,1
403,2024-03-13,Altavoz,Informática,Madrid,1960.16,7
404,2024-09-19,Monitor,Accesorios,Madrid,391.23,2
405,2023-01-31,Webcam,Accesorios,Bilbao,812.01,9
406,2022-05-16,Monitor,Oficina,Bilbao,686.22,2
407,2023-12-11,Impresora,Informática,Barcelona,1357.06,4
408,2024-06-03,Teclado,Accesorios,Zaragoza,1079.86,8
409,2022-07-02,Altavoz,Informática,Zaragoza,1096.44,2
410,2024-04-28,Tablet,Informática,Zaragoza,521.92,5
411,2022-10-14,Portátil,Accesorios,Barcelona,1724.72,5
412,2022-06-07,Impresora,Oficina,Valladolid,1719.14,9
413,2022-12-04,Altavoz,Accesorios,Sevilla,1818.18,1
414,2024-06-09,Disco SSD,Informática,Valladolid,1723.91,2
415,2023-09-10,Teclado,Informática,Sevilla,183.71,5
416,2024-05-05,Tablet,Informática,Barcelona,1351.44,9
417,2024-08-03,Portátil,Accesorios,Zaragoza,47.02,4
418,2023-02-17,Auriculares,Informática,Zaragoza,782.71,2
419,2024-05-24,Altavoz,Informática,Valencia,264.53,5
420,2023-01-13,Impresora,Oficina,Sevilla,741.8,10
421,2024-09-15,Ratón,Accesorios,Sevilla,886.14,4
422,2023-03-06,Webcam,Gaming,Valladolid,1094.39,7
423,2023-11-29,Ratón,Gaming,Valladolid,973.33,8
424,2023-05-21,Altavoz,Oficina,Bilbao,511.83,2
425,2023-07-14,Portátil,Informática,Madrid,1423.19,1
426,2024-06-01,Monitor,Gaming,Zaragoza,1840.55,4
427,2023-05-22,Teclado,Oficina,Valencia,602.7,3
428,2022-10-16,Webcam,Oficina,Madrid,292.96,2
429,2024-01-01,Tablet,Informática,Madrid,466.63,6
430,2022-04-01,Altavoz,Gaming,Bilbao,1863.91,10
431,2023-08-05,Altavoz,Accesorios,Málaga,1426.24,7
432,2022-01-09,Webcam,Informática,Zaragoza,193.87,8
433,2023-07-05,Tablet,Gaming,Barcelona,606.38,9
434,2023-02-19,Teclado,Gaming,Zaragoza,724.01,2
435,2023-11-19,Tablet,Gaming,Madrid,568.84,5
436,2023-11-24,Webcam,Accesorios,Málaga,1122.11,2
437,2023-02-27,Ratón,Oficina,Valladolid,1517.23,10
438,2023-10-10,Tablet,Informática,Barcelona,1020.32,9
439,2023-06-16,Teclado,Oficina,Sevilla,948.24,10
440,2022-01-08,Altavoz,Oficina,Sevilla,201.01,3
